,Ground truth varnodes (decomposed),Varnodes matched @ level=NO_MATCH (decomposed),Varnodes matched @ level=OVERLAP (decomposed),Varnodes matched @ level=SUBSET (decomposed),Varnodes matched @ level=ALIGNED (decomposed),Varnodes matched @ level=MATCH (decomposed),"Varnode average comparison score [0,1] (decomposed)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,1190,391,129,0,233,437,0.5411764705882353,0.6714285714285714,0.36722689075630255
b2sum,1954,607,174,0,775,398,0.5234135107471852,0.6893551688843398,0.20368474923234392
base32,1169,647,82,0,102,338,0.3721129170230967,0.446535500427716,0.2891360136869119
base64,1197,679,78,0,102,338,0.3625730994152046,0.4327485380116959,0.28237259816207183
basename,844,359,74,0,98,313,0.4798578199052132,0.5746445497630331,0.3708530805687204
basenc,1847,1276,76,0,128,367,0.2609637249593936,0.3091499729290742,0.19870059556036818
cat,933,394,78,0,129,332,0.4804394426580922,0.5777063236870311,0.3558413719185423
chcon,17348,436,79,0,16395,438,0.735185612174314,0.97486741987549,0.02524786718930136
chgrp,1264,463,83,0,291,427,0.5268987341772152,0.6337025316455697,0.33781645569620256
chmod,1305,493,85,0,292,435,0.5174329501915709,0.6222222222222222,0.3333333333333333
chown,1308,466,82,0,320,440,0.5355504587155964,0.6437308868501529,0.3363914373088685
chroot,933,359,75,0,129,370,0.5203644158628081,0.6152197213290461,0.3965702036441586
cksum,31779,11688,17077,0,2434,580,0.2100365020925768,0.6322099499669593,0.018251046288429464
comm,998,367,98,0,202,331,0.5080160320641283,0.6322645290581163,0.3316633266533066
cp,4028,1852,249,0,474,1453,0.4644364448857994,0.5402184707050646,0.36072492552135055
csplit,5532,819,455,0,1892,2366,0.7047631959508315,0.8519522776572668,0.42769342010122924
cut,5022,381,74,0,4232,335,0.7024093986459577,0.9241338112305855,0.06670649143767424
date,8648,2437,238,0,2928,3045,0.6129162812210915,0.7182007400555042,0.352104532839963
dd,6329,1987,128,0,2993,1221,0.55265444778006,0.6860483488702797,0.19292147258650655
